,precision,recall,f1-score,support
achichuk,1.0,0.975609756097561,0.9876543209876543,41.0
airan-katyk,0.9130434782608695,0.9130434782608695,0.9130434782608695,46.0
asip,0.6666666666666666,0.2702702702702703,0.38461538461538464,37.0
bauyrsak,0.8870967741935484,0.8870967741935484,0.8870967741935484,62.0
beshbarmak-w-kazy,0.6415094339622641,0.7727272727272727,0.7010309278350515,44.0
beshbarmak-wo-kazy,0.7796610169491526,0.7540983606557377,0.7666666666666667,61.0
chak-chak,0.8349514563106796,0.9247311827956989,0.8775510204081632,93.0
cheburek,0.8958333333333334,0.9148936170212766,0.9052631578947369,94.0
doner-lavash,0.8421052631578947,0.8,0.8205128205128205,20.0
doner-nan,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
hvorost,0.9338235294117647,0.900709219858156,0.9169675090252708,141.0
irimshik,0.9704142011834319,0.9371428571428572,0.9534883720930233,175.0
kattama-nan,0.8529411764705882,0.8787878787878788,0.8656716417910447,66.0
kazy-karta,0.8918918918918919,0.717391304347826,0.7951807228915663,46.0
kurt,0.875,0.9180327868852459,0.896,61.0
kuyrdak,0.8253968253968254,0.896551724137931,0.859504132231405,58.0
kymyz-kymyran,0.9130434782608695,0.8571428571428571,0.8842105263157894,49.0
lagman-fried,0.8918918918918919,0.868421052631579,0.88,38.0
lagman-w-soup,0.8552631578947368,0.8666666666666667,0.8609271523178808,75.0
lagman-wo-soup,0.8888888888888888,0.7272727272727273,0.8,22.0
manty,0.8805970149253731,0.9365079365079365,0.9076923076923077,63.0
naryn,0.975609756097561,0.9523809523809523,0.963855421686747,84.0
nauryz-kozhe,0.9259259259259259,0.9615384615384616,0.9433962264150944,52.0
orama,0.825,0.868421052631579,0.8461538461538461,38.0
plov,0.9523809523809523,0.9900990099009901,0.970873786407767,101.0
samsa,0.897196261682243,0.9056603773584906,0.9014084507042254,106.0
shashlyk-chicken,0.5,0.7096774193548387,0.5866666666666667,62.0
shashlyk-chicken-v,0.7272727272727273,0.7272727272727273,0.7272727272727273,33.0
shashlyk-kuskovoi,0.6461538461538462,0.5915492957746479,0.6176470588235294,71.0
shashlyk-kuskovoi-v,0.7307692307692307,0.6551724137931034,0.6909090909090909,29.0
shashlyk-minced-meat,0.7647058823529411,0.6190476190476191,0.6842105263157895,42.0
sheep-head,0.9375,0.9375,0.9375,16.0
shelpek,0.8142857142857143,0.890625,0.8507462686567164,64.0
shorpa,0.8947368421052632,0.85,0.8717948717948718,80.0
soup-plain,0.9459459459459459,0.9859154929577465,0.9655172413793104,71.0
sushki,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
suzbe,0.8823529411764706,0.967741935483871,0.9230769230769231,62.0
taba-nan,0.916030534351145,0.8823529411764706,0.898876404494382,136.0
talkan-zhent,0.9113924050632911,0.8,0.8520710059171598,90.0
tushpara-fried,0.7291666666666666,0.7608695652173914,0.7446808510638298,46.0
tushpara-w-soup,0.8840579710144928,0.9104477611940298,0.8970588235294118,67.0
tushpara-wo-soup,0.8842105263157894,0.9230769230769231,0.9032258064516129,91.0
accuracy,0.865826538176427,0.865826538176427,0.865826538176427,0.865826538176427
macro avg,0.8528238250428631,0.8428898256140966,0.844142200043452,2698.0
weighted avg,0.8685000524511323,0.865826538176427,0.8645686685754466,2698.0
